sample,key,value
SRR9053067,day,12.0
SRR24218762,day,16.0
SRR9053752,day,6.0
SRR9050277,day,5.0
SRR9053576,day,6.0
SRR9053219,day,12.0
ERR10113533,day,16.0
SRR9050062,day,23.0
SRR9050262,day,9.0
SRR24218790,day,11.0
ERR10113508,day,11.0
SRR9050303,day,17.0
SRR9050152,day,2.0
SRR24218580,day,23.0
SRR9053606,day,26.0
SRR9053165,day,26.0
SRR9050234,day,2.0
SRR9053511,day,24.0
SRR9053485,depth_m,0.085
SRR9049938,depth_m,0.842
SRR9053858,depth_m,0.061
SRR9053246,depth_m,0.248
SRR9053447,depth_m,0.074
SRR9050312,depth_m,0.102
SRR13899056,depth_m,15.0
SRR9053067,depth_m,0.041
SRR24218762,depth_m,25.0
SRR9053752,depth_m,0.018
SRR9050277,depth_m,0.207
SRR9053576,depth_m,0.017
SRR9053219,depth_m,0.03
ERR10113533,depth_m,5.0
SRR9050062,depth_m,0.059
SRR9050262,depth_m,0.032
SRR24218790,depth_m,2000.0
ERR10113508,depth_m,5.0
SRR9050303,depth_m,0.058
SRR9050152,depth_m,0.435
SRR24218580,depth_m,2000.0
SRR9053606,depth_m,0.067
SRR9053165,depth_m,0.064
SRR9050234,depth_m,0.138
SRR9053511,depth_m,0.184
SRR9053485,organism,marine metagenome
SRR9049938,organism,marine metagenome
SRR9053858,organism,marine metagenome
SRR9053246,organism,marine metagenome
SRR9053447,organism,marine metagenome
SRR9050312,organism,marine metagenome
SRR13899056,organism,marine plankton metagenome
SRR9053067,organism,marine metagenome
SRR24218762,organism,marine plankton metagenome
SRR9053752,organism,marine metagenome
SRR9050277,organism,marine metagenome
SRR9053576,organism,marine metagenome
SRR9053219,organism,marine metagenome
ERR10113533,organism,marine plankton metagenome
SRR9050062,organism,marine metagenome
SRR9050262,organism,marine metagenome
SRR24218790,organism,marine plankton metagenome
ERR10113508,organism,marine plankton metagenome
SRR9050303,organism,marine metagenome
SRR9050152,organism,marine metagenome
SRR24218580,organism,marine plankton metagenome
SRR9053606,organism,marine metagenome
SRR9053165,organism,marine metagenome
SRR9050234,organism,marine metagenome
SRR9053511,organism,marine metagenome
SRR9053485,season,summer
SRR9049938,season,spring
SRR9053858,season,summer
SRR9053246,season,summer
SRR9053447,season,summer
SRR9050312,season,spring
SRR13899056,season,summer
SRR9053067,season,summer
SRR24218762,season,wet_season
SRR9053752,season,summer
SRR9050277,season,spring
SRR9053576,season,summer
SRR9053219,season,summer
ERR10113533,season,autumn
SRR9050062,season,wet_season
SRR9050262,season,spring
SRR24218790,season,dry_season
ERR10113508,season,summer
SRR9050303,season,summer
SRR9050152,season,spring
SRR24218580,season,dry_season
SRR9053606,season,summer
SRR9053165,season,summer
SRR9050234,season,spring
SRR9053511,season,summer
SRR9053485,domain,marine
SRR9049938,domain,marine
SRR9053858,domain,marine
SRR9053246,domain,marine
SRR9053447,domain,marine
SRR9050312,domain,marine
SRR13899056,domain,marine
SRR9053067,domain,marine
SRR24218762,domain,marine
SRR9053752,domain,marine
SRR9050277,domain,marine
SRR9053576,domain,marine
SRR9053219,domain,marine
ERR10113533,domain,marine
SRR9050062,domain,marine
SRR9050262,domain,marine
SRR24218790,domain,marine
ERR10113508,domain,marine
SRR9050303,domain,marine
SRR9050152,domain,marine
SRR24218580,domain,marine
SRR9053606,domain,marine
SRR9053165,domain,marine
SRR9050234,domain,marine
SRR9053511,domain,marine
SRR9053485,ecoregion,Virginian
SRR9049938,ecoregion,North Sea
SRR9053858,ecoregion,Puget Trough/Georgia Basin
SRR9053246,ecoregion,Northern Gulf of Mexico
SRR9053447,ecoregion,Northern California
SRR9050312,ecoregion,Western Mediterranean
SRR13899056,ecoregion,North Central Pacific Gyre
SRR9053067,ecoregion,Carolinian
SRR24218762,ecoregion,North Central Pacific Gyre
SRR9053752,ecoregion,Northern Gulf of Mexico
SRR9050277,ecoregion,Western Mediterranean
SRR9053576,ecoregion,Northern Gulf of Mexico
SRR9053219,ecoregion,Carolinian
ERR10113533,ecoregion,Baltic Sea
SRR9050062,ecoregion,Malacca Strait
SRR9050262,ecoregion,Western Mediterranean
SRR24218790,ecoregion,North Central Pacific Gyre
ERR10113508,ecoregion,Baltic Sea
SRR9050303,ecoregion,East China Sea
SRR9050152,ecoregion,North Sea
SRR24218580,ecoregion,North Central Pacific Gyre
SRR9053606,ecoregion,Northern California
